Sampled date,Collected by,Collected from,Customer id,Date authorised,Description,Group id,Id Numeric,Id Text,Job Name,Motivo ekuis,Obser ekuis,Product,Reception notes,Record id,Sample name,Sample type,Sampling point,Table name,Template id,Test schedule,Enviable ekuis
13-NOV-2024 11:22:00,OSKAR,ducha habitaci�n 105,LAB_MUN,18-DEC-2025 10:23:32,agua de ducha,LM_CAMPO,236761,LEGIONELLA-2024-6905,LEGIONELLA-2024,,,,,,agua caliente sanitaria,AG_ACS,D-1140,,LEGIONELLA,LEGIO-IDEX,
13-NOV-2024 11:10:00,OSKAR,ducha habitaci�n personal pta baja,LAB_MUN,18-DEC-2025 10:23:38,agua de ducha,LM_CAMPO,236762,LEGIONELLA-2024-6906,LEGIONELLA-2024,,,,,,agua caliente sanitaria,AG_ACS,D-1140,,LEGIONELLA,LEGIO-IDEX,
13-NOV-2024 11:16:00,OSKAR,ducha habitaci�n 211,LAB_MUN,18-DEC-2025 10:23:43,agua de ducha,LM_CAMPO,236763,LEGIONELLA-2024-6907,LEGIONELLA-2024,,,,,,agua caliente sanitaria,AG_ACS,D-1140,,LEGIONELLA,LEGIO-IDEX,
29-APR-2025 13:03:00,OSKAR,CC Arana  grifo 1� izd sin descarga,LAB_MUN,08-OCT-2025 09:44:14,agua de red,LM_CAMPO,239188,AG_CONSUMO-D-031-080655,AGUAS-POT-2025,3,,AGUAS_POT,,,Agua de consumo,AG_CONSUMO,D-031,,WMM_LM_POT,POT-SANITA,N
29-APR-2025 13:13:00,OSKAR,CC Arana dejando correr 10 min,LAB_MUN,08-OCT-2025 09:44:14,agua de red a los 10 minutos,LM_CAMPO,239189,AG_CONSUMO-D-031-080656,AGUAS-POT-2025,2,comprobacion incidencia Al 238886,AGUAS_POT,,,Agua de consumo,AG_CONSUMO,D-031,,WMM_LM_POT,POT-SANITA,N
29-APR-2025 12:45:00,OSKAR,grifo podolog�a muy cercano a la acometida,LAB_MUN,08-OCT-2025 09:44:14,agua de red,LM_CAMPO,239192,AG_CONSUMO-D-1077-080657,AGUAS-POT-2025,3,,AGUAS_POT,,REDES,Agua de consumo,AG_CONSUMO,D-1077,,WMM_LM_POT,,N
06-MAY-2025 11:36:00,OSKAR,fuente,LAB_MUN,08-OCT-2025 09:44:34,agua de red,LM_CAMPO,239226,AG_CONSUMO-D-161-080674,AGUAS-POT-2025,3,,AGUAS_POT,,P2,Agua de consumo,AG_CONSUMO,D-161,PUEBLOS,WMM_LM_POT,POT-SANITA,N
12-MAY-2025 10:25:00,OSKAR,fuente,LAB_MUN,08-OCT-2025 09:44:51,agua de red,LM_CAMPO,239377,AG_CONSUMO-D-111-080680,AGUAS-POT-2025,3,,AGUAS_POT,,P3,Agua de consumo,AG_CONSUMO,D-111,PUEBLOS,WMM_LM_POT,POT-SANITA,N
12-MAY-2025 10:00:00,OSKAR,fuente,LAB_MUN,08-OCT-2025 09:44:51,agua de red,LM_CAMPO,239378,AG_CONSUMO-D-112-080681,AGUAS-POT-2025,3,,AGUAS_POT,,P3,Agua de consumo,AG_CONSUMO,D-112,PUEBLOS,WMM_LM_POT,POT-SANITA,N
12-MAY-2025 09:50:00,OSKAR,fuente,LAB_MUN,08-OCT-2025 09:44:51,agua de red,LM_CAMPO,239379,AG_CONSUMO-D-115-080682,AGUAS-POT-2025,3,,AGUAS_POT,,P3,Agua de consumo,AG_CONSUMO,D-115,PUEBLOS,WMM_LM_POT,POT-SANITA,N
12-MAY-2025 10:10:00,OSKAR,fuente,LAB_MUN,08-OCT-2025 09:44:51,agua de red,LM_CAMPO,239380,AG_CONSUMO-D-116-080683,AGUAS-POT-2025,3,,AGUAS_POT,,P3,Agua de consumo,AG_CONSUMO,D-116,PUEBLOS,WMM_LM_POT,POT-SANITA,N
12-MAY-2025 11:25:00,OSKAR,casa 6b cocina,LAB_MUN,08-OCT-2025 09:44:51,agua de red,LM_CAMPO,239381,AG_CONSUMO-D-122-080684,AGUAS-POT-2025,3,,AGUAS_POT,,P3,Agua de consumo,AG_CONSUMO,D-122,PUEBLOS,WMM_LM_POT,POT-SANITA,N
12-MAY-2025 10:55:00,OSKAR,fuente,LAB_MUN,08-OCT-2025 09:44:51,agua de red,LM_CAMPO,239382,AG_CONSUMO-D-124-080685,AGUAS-POT-2025,3,,AGUAS_POT,,P3,Agua de consumo,AG_CONSUMO,D-124,PUEBLOS,WMM_LM_POT,POT-SANITA,N
12-MAY-2025 11:40:00,OSKAR,fuente,LAB_MUN,08-OCT-2025 09:44:51,agua de red,LM_CAMPO,239383,AG_CONSUMO-D-125-080686,AGUAS-POT-2025,3,,AGUAS_POT,,P3,Agua de consumo,AG_CONSUMO,D-125,PUEBLOS,WMM_LM_POT,POT-SANITA,N
