Analysis,Component name,Id numeric,Result text,Result type,Result value
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168326,0,N,0.000
M-068-AC1,Microorganismos cultivables a 22 ºC,168326,3.1E+02,K,310.000
M-068-AC1,Microorganismos cultivables a 22º C,168326,3.5E+02,N,350.000
M-068-AC1,P1,168326,>300,N,300.000
M-068-AC1,P2,168326,35,N,35.000
M-068-AC1,Recuento,168326,305,K,305.000
M-068-AC1,d,168326,0,N,0.000
SULF-IONIC,SULFATOS,168326,10.2,N,10.150
TEST-NH4,Amonio,168326,<0.20 mg/l,O,0.000
WMM-LM-CAM,Cloro combinado,168326,<0.1,N,0.000
WMM-LM-CAM,Cloro combinado,168327,.3,N,0.300
WMM-LM-CAM,Cloro libre,168327,0.1,N,0.100
WMM-LM-CAM,Cloro total,168327,0.4,N,0.400
D_CONDUCT,Conductividad a 20 ºC,168327,265,N,265.000
D_OXIDABIL,Oxidabilidad al Permanganato,168327,1.28,N,1.280
D_PH,pH,168327,7.9,N,7.890
D_POT_IONI,CLORUROS,168327,13.31,N,13.310
D_POT_IONI,FLUORUROS,168327,0.84,N,0.840
D_POT_IONI,NITRATOS,168327,4.90,N,4.900
D_POT_IONI,NITRITOS,168327,<0.05,N,0.050
D_TURBIDEZ,Turbidez,168327,0.32,N,0.320
M-013-AC1,Recuento de Enterococos intestinales,168327,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168327,0,N,0.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168327,0,N,0.000
M-068-AC1,Microorganismos cultivables a 22 ºC,168327,0.0,K,0.000
M-068-AC1,Microorganismos cultivables a 22º C,168327,<1,N,1.000
M-068-AC1,P1,168327,0,N,0.000
M-068-AC1,P2,168327,0,N,0.000
M-068-AC1,Recuento,168327,0,K,0.000
M-068-AC1,d,168327,0,N,0.000
SULF-IONIC,SULFATOS,168327,13.8,N,13.780
TEST-NH4,Amonio,168327,<0.20 mg/l,O,0.000
D_CONDUCT,Conductividad a 20 ºC,168328,580,N,580.000
WMM-LM-CAM,Cloro total,168328,1.4,N,1.400
D_PH,pH,168328,7.3,N,7.310
D_POT_IONI,CLORUROS,168328,10.21,N,10.210
D_POT_IONI,FLUORUROS,168328,0.20,N,0.200
D_POT_IONI,NITRATOS,168328,9.52,N,9.520
D_POT_IONI,NITRITOS,168328,<0.05,N,0.050
D_TURBIDEZ,Turbidez,168328,0.30,N,0.300
M-013-AC1,Recuento de Enterococos intestinales,168328,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168328,0,N,0.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168328,0,N,0.000
M-068-AC1,Microorganismos cultivables a 22 ºC,168328,1.5E+01,K,15.000
M-068-AC1,Microorganismos cultivables a 22º C,168328,1.5E+01,N,15.000
M-068-AC1,P1,168328,15,N,15.000
M-068-AC1,P2,168328,2,N,2.000
M-068-AC1,Recuento,168328,15,K,15.000
M-068-AC1,d,168328,0,N,0.000
SULF-IONIC,SULFATOS,168328,20.2,N,20.240
TEST-NH4,Amonio,168328,<0.20 mg/l,O,0.000
WMM-LM-CAM,Cloro combinado,168328,.1,N,0.100
WMM-LM-CAM,Cloro libre,168328,1.3,N,1.300
D_OXIDABIL,Oxidabilidad al Permanganato,168328,0.60,N,0.600
WMM-LM-CAM,Cloro total,168329,1.4,N,1.400
M-013-AC1,Recuento de Enterococos intestinales,168329,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168329,0,N,0.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168329,0,N,0.000
M-068-AC1,Microorganismos cultivables a 22 ºC,168329,9.0,K,9.000
M-068-AC1,Microorganismos cultivables a 22º C,168329,9.0,N,9.000
M-068-AC1,P1,168329,10,N,10.000
M-068-AC1,P2,168329,0,N,0.000
M-068-AC1,Recuento,168329,9,K,9.000
M-068-AC1,d,168329,0,N,0.000
SULF-IONIC,SULFATOS,168329,20.3,N,20.290
TEST-NH4,Amonio,168329,<0.20 mg/l,O,0.000
D_CONDUCT,Conductividad a 20 ºC,168329,580,N,580.000
D_OXIDABIL,Oxidabilidad al Permanganato,168329,0.72,N,0.720
D_PH,pH,168329,7.4,N,7.360
D_POT_IONI,CLORUROS,168329,10.10,N,10.100
D_POT_IONI,FLUORUROS,168329,0.19,N,0.190
D_POT_IONI,NITRATOS,168329,9.74,N,9.740
D_POT_IONI,NITRITOS,168329,<0.05,N,0.050
D_TURBIDEZ,Turbidez,168329,<0.20,N,0.180
WMM-LM-CAM,Cloro combinado,168329,.1,N,0.100
WMM-LM-CAM,Cloro libre,168329,1.3,N,1.300
D_CONDUCT,Conductividad a 20 ºC,168330,580,N,580.000
D_OXIDABIL,Oxidabilidad al Permanganato,168330,0.56,N,0.560
WMM-LM-CAM,Cloro total,168330,1.4,N,1.400
WMM-LM-CAM,Cloro libre,168330,1.1,N,1.100
WMM-LM-CAM,Cloro combinado,168330,.3,N,0.300
TEST-NH4,Amonio,168330,<0.20 mg/l,O,0.000
SULF-IONIC,SULFATOS,168330,20.4,N,20.390
