Sampled date,Collected by,Collected from,Customer id,Date authorised,Description,Group id,Id Numeric,Id Text,Job Name,Motivo ekuis,Obser ekuis,Product,Reception notes,Record id,Sample name,Sample type,Sampling point,Table name,Template id,Test schedule,Enviable ekuis
"11-JAN-2024 12:05:00","OSKAR     ","                                                                                                    ","LAB_MUN   ","24-JAN-2024 11:17:20","blanco proceso                                                                                      ","LM_CAMPO  ","    231472","CCI-INSPECCION-2023-4920      ","CCI-INSPECCION-2024 ","          ","                                                                                                    ","          ","                                                                                                    ","          ","agua blanco legio             ","CONTROL-LE","D-333     ","          ","LEGIONELLA","LEGIO-PA  "," "
"11-JAN-2024 11:22:17","          ","                                                                                                    ","LAB_MUN   ","05-MAY-2025 13:27:51","Cereal                                                                                              ","LAB_MUN   ","    231473","CCI-BROMA-2024-4921           ","CCI-BROMA-2024      ","          ","                                                                                                    ","          ","Control interno azúcares totales                                                                    ","          ","QFCS FC318 M770               ","ALIMENTOS ","NA        ","          ","CONTROL   ","          "," "
"11-JAN-2024 14:08:56","          ","                                                                                                    ","LAB_MUN   ","05-MAY-2025 13:27:58","QFCS FC276 M814                                                                                     ","LAB_MUN   ","    231474","CCI-BROMA-2024-4922           ","CCI-BROMA-2024      ","          ","                                                                                                    ","          ","Control interno azúcares totales                                                                    ","          ","Melocotón en almíbar          ","ALIMENTOS ","NA        ","          ","CONTROL   ","          "," "
"15-JAN-2024 12:22:00","OGONI     ","balsa                                                                                               ","LAB_MUN   ","02-FEB-2024 09:16:08","torre de refrigeración 1                                                                            ","LM_CAMPO  ","    231612","LEGIONELLA-2024-4975          ","LEGIONELLA-2024     ","          ","                                                                                                    ","          ","                                                                                                    ","          ","agua torre de refrigeración   ","AGUA_TORRE","D-338-1   ","          ","LEGIONELLA","LEGIO-PA-S"," "
"15-JAN-2024 12:19:00","OGONI     ","balsa                                                                                               ","LAB_MUN   ","02-FEB-2024 12:38:30","torre de refrigeración 2                                                                            ","LM_CAMPO  ","    231613","LEGIONELLA-2024-4976          ","LEGIONELLA-2024     ","          ","                                                                                                    ","          ","                                                                                                    ","          ","agua torre de refrigeración   ","AGUA_TORRE","D-338-2   ","          ","LEGIONELLA","LEGIO-PA-S"," "
"15-JAN-2024 12:15:00","OGONI     ","balsa                                                                                               ","LAB_MUN   ","02-FEB-2024 12:38:39","torre de refrigeración 3                                                                            ","LM_CAMPO  ","    231614","LEGIONELLA-2024-4977          ","LEGIONELLA-2024     ","          ","                                                                                                    ","          ","                                                                                                    ","          ","agua torre de refrigeración   ","AGUA_TORRE","D-338-3   ","          ","LEGIONELLA","LEGIO-PA-S"," "
"15-JAN-2024 13:28:00","OSKAR     ","balsa                                                                                               ","LAB_MUN   ","02-FEB-2024 12:38:46","torre de refrigeración 1                                                                            ","LM_CAMPO  ","    231615","LEGIONELLA-2024-4978          ","LEGIONELLA-2024     ","          ","                                                                                                    ","          ","                                                                                                    ","          ","agua torre refrigeración      ","AGUA_TORRE","D-353-1   ","          ","LEGIONELLA","LEGIO-PA-S"," "
"15-JAN-2024 13:32:00","OSKAR     ","balsa                                                                                               ","LAB_MUN   ","02-FEB-2024 09:40:16","torre de refrigeración 2                                                                            ","LM_CAMPO  ","    231616","LEGIONELLA-2024-4979          ","LEGIONELLA-2024     ","          ","                                                                                                    ","          ","                                                                                                    ","          ","agua torre refrigeración      ","AGUA_TORRE","D-353-2   ","          ","LEGIONELLA","LEGIO-PA-S"," "
"15-JAN-2024 12:59:32","          ","                                                                                                    ","LAB_MUN   ","22-FEB-2024 15:05:12","Carrefour Classic Cad:01/01/25 L:233120                                                             ","LM_MICRO  ","    231622","CCI-MICRO-2024-4984           ","CCI-MICRO-2024      ","          ","                                                                                                    ","          ","                                                                                                    ","          ","Turmix verduras               ","ALIMENTOS ","NA        ","          ","CONTROL   ","PLAPRE-MIB"," "
"15-JAN-2024 12:59:32","          ","                                                                                                    ","LAB_MUN   ","22-FEB-2024 15:05:18","Inoculada 1. De muestra 231622                                                                      ","LM_MICRO  ","    231623","CCI-MICRO-2024-4985           ","CCI-MICRO-2024      ","          ","                                                                                                    ","          ","                                                                                                    ","          ","Turmix verduras               ","ALIMENTOS ","NA        ","          ","CONTROL   ","PLAPRE-MIB"," "
"15-JAN-2024 12:59:32","          ","                                                                                                    ","LAB_MUN   ","22-FEB-2024 15:05:25","Inoculada 2. De muestra 231622                                                                      ","LM_MICRO  ","    231624","CCI-MICRO-2024-4986           ","CCI-MICRO-2024      ","          ","                                                                                                    ","          ","                                                                                                    ","          ","Turmix verduras               ","ALIMENTOS ","NA        ","          ","CONTROL   ","PLAPRE-MIB"," "
"15-JAN-2024 12:59:32","          ","                                                                                                    ","LAB_MUN   ","22-FEB-2024 15:05:32","Control del proceso                                                                                 ","LM_MICRO  ","    231625","CCI-MICRO-2024-4987           ","CCI-MICRO-2024      ","          ","                                                                                                    ","          ","                                                                                                    ","          ","Tamponada                     ","ALIMENTOS ","NA        ","          ","CONTROL   ","PLAPRE-MIB"," "
"15-JAN-2024 14:40:00","OGONI     ","baño infantil cerca cocina grifo izd                                                                ","LAB_MUN   ","24-JAN-2024 11:19:44","agua                                                                                                ","LAB_MUN   ","    231626","AGUAS-POT-2024-4988           ","AGUAS-POT-2024      ","          ","                                                                                                    ","          ","comprobacion incumplimiento metales                                                                 ","          ","agua consumo red              ","AG_CONSUMO","D-657     ","          ","AGUAS     ","POT-COMPLE"," "
"16-JAN-2024 08:46:09","          ","                                                                                                    ","LAB_MUN   ","07-FEB-2024 12:41:59","Plato preparado pasta                                                                               ","LAB_MUN   ","    231627","CCI-BROMA-2024-4989           ","CCI-BROMA-2024      ","          ","                                                                                                    ","          ","Control interno Res San Pru                                                                         ","          ","QFCS PT-FC322 M772 Dup 2023   ","ALIMENTOS ","NA        ","          ","CONTROL   ","PLAPRE-BR "," "
"16-JAN-2024 08:46:09","          ","                                                                                                    ","LAB_MUN   ","24-JAN-2024 11:20:09","Salchicha cocida                                                                                    ","LAB_MUN   ","    231628","CCI-BROMA-2024-4990           ","CCI-BROMA-2024      ","          ","                                                                                                    ","          ","Control interno cloruros                                                                            ","          ","MUVA-BR-1008                  ","ALIMENTOS ","NA        ","          ","CONTROL   ","PLAPRE-BR "," "
"16-JAN-2024 08:46:09","          ","                                                                                                    ","LAB_MUN   ","24-JAN-2024 11:20:16","Cereal                                                                                              ","LAB_MUN   ","    231629","CCI-BROMA-2024-4991           ","CCI-BROMA-2024      ","          ","                                                                                                    ","          ","Control interno cloruros                                                                            ","          ","QFCS FC 318 M770 duplicado2023","ALIMENTOS ","NA        ","          ","CONTROL   ","PLAPRE-BR "," "
