Sampled date,Collected by,Collected from,Customer id,Date authorised,Description,Group id,Id Numeric,Id Text,Job Name,Motivo ekuis,Obser ekuis,Product,Reception notes,Record id,Sample name,Sample type,Sampling point,Table name,Template id,Test schedule,Enviable ekuis
15-DEC-2025 07:36:06,CLIENTE,Vaso,PISCI_AYTO,13-JAN-2026 07:40:20,Agua no de consumo tratada,LAB_MUN,242870,AUTOCONTROL-2025-9241,AUTOCONTROL-2025,,,LUDICAS,,PISCINAS,Agua Lúdica,AG_LUDICA,VASO-IB-3,MUN-R1,WMN_LUD_CL,LUD-LEGIO,
15-DEC-2025 07:36:06,CLIENTE,Vaso,PISCI_AYTO,13-JAN-2026 07:40:26,Agua no de consumo tratada,LAB_MUN,242872,AUTOCONTROL-2025-9243,AUTOCONTROL-2025,,,LUDICAS,,PISCINAS,Agua Lúdica,AG_LUDICA,VASO-M2,MUN-R1,WMN_LUD_CL,LUD-LEGIO,
15-DEC-2025 10:10:00,OSKAR,Caso 012515,LAB_MUN,08-JAN-2026 10:42:09,agua de ducha,LM_CAMPO,242873,LEGIONELLA-2025-9244,LEGIONELLA-2025,,,,,,agua caliente sanitaria,AG_ACS,LEGIO-000,,LEGIONELLA,LEGIO-IDEX,
08-JAN-2026 09:35:00,NUMARTIN,acumulador,LAB_MUN,22-JAN-2026 11:47:53,agua de acumulador,LM_CAMPO,243041,LEGIONELLA-2026-9316,LEGIONELLA-2026,,,,,,Agua caliente sanitaria,AG_ACS,D-1181,,LEGIONELLA,LEGIO-PA,
08-JAN-2026 09:40:00,NUMARTIN,retorno,LAB_MUN,22-JAN-2026 11:47:59,agua de retorno,LM_CAMPO,243042,LEGIONELLA-2026-9317,LEGIONELLA-2026,,,,,,Agua caliente sanitaria,AG_ACS,D-1181,,LEGIONELLA,LEGIO-PA,
08-JAN-2026 09:50:00,NUMARTIN,ducha habitación 302,LAB_MUN,22-JAN-2026 11:48:04,agua de ducha,LM_CAMPO,243043,LEGIONELLA-2026-9318,LEGIONELLA-2026,,,,,,agua caliente sanitaria,AG_ACS,D-1181,,LEGIONELLA,LEGIO-PA,
08-JAN-2026 10:35:00,NUMARTIN,acumulador,LAB_MUN,22-JAN-2026 11:48:09,agua de acumulador,LM_CAMPO,243044,LEGIONELLA-2026-9319,LEGIONELLA-2026,,,,,,agua caliente sanitaria,AG_ACS,D-1182,,LEGIONELLA,LEGIO-PA,
08-JAN-2026 10:40:00,NUMARTIN,retorno,LAB_MUN,22-JAN-2026 11:48:16,agua de retorno,LM_CAMPO,243045,LEGIONELLA-2026-9320,LEGIONELLA-2026,,,,,,agua caliente sanitaria,AG_ACS,D-1182,,LEGIONELLA,LEGIO-PA,
08-JAN-2026 10:45:00,NUMARTIN,ducha habitación 007,LAB_MUN,22-JAN-2026 11:48:22,agua de ducha,LM_CAMPO,243046,LEGIONELLA-2026-9321,LEGIONELLA-2026,,,,,,agua caliente sanitaria,AG_ACS,D-1182,,LEGIONELLA,LEGIO-PA,
12-JAN-2026 10:55:00,OSKAR,vaso,LAB_MUN,22-JAN-2026 11:50:53,Agua de aporte de red,LM_CAMPO,243111,LUD-D-221-12-JAN-2026-013795,LUDICAS-2026,,,LUDICAS,,PISCINAS,Agua de piscina,AG_LUDICA,D-221,CUBIERTA-1,WMM_LUD,LUD-BASICO,
