Analysis,Component name,Id numeric,Result text,Result type,Result value
M-033-AC2,Legionella spp - Recuento,243045,No detectado,O,0.000
PE-IL-TEMP,Temperatura del agua,243045,60.0,N,60.000
PE-IL-CL,Cloro libre,243045,0.0,N,0.000
M-033-AC2,Legionella-Limite detección ensayo,243045,25 ufc/L,O,0.000
M-033-AC2,Legionella-Volumen filtrado,243045,1,N,1.000
BIOCIDA,Biocida nombre,243046,hipoclorito sódico,T,0.000
ENVASE,Envase,243046,Vidrio 1L,O,0.000
FECHA-LEG,Análisis Legionella-Fecha de inicio,243046,09/01/2026,T,0.000
FECHA-LEG,Análisis Legionella-Fecha fin,243046,19/01/2026,T,0.000
PE-IL-TEMP,Temperatura del agua,243046,58.0,N,58.000
PE-IL-CL,Cloro libre,243046,0.0,N,0.000
M-033-AC2,Legionella-Volumen filtrado,243046,1,N,1.000
BIOCIDA,Biocida neutralizante,243046,tiosulfato sódico,T,0.000
M-033-AC2,Legionella spp - Recuento,243046,No detectado,O,0.000
M-033-AC2,Legionella-Limite detección ensayo,243046,25 ufc/L,O,0.000
D_CONDUCT,Conductividad a 20 ºC,243111,603,N,602.600
D_OXIDABIL,Oxidabilidad,243111,0.73,N,0.730
PE-IL-TEMP,Temperatura del agua,243111,27.1,N,27.100
PE-IL-BR-1,Bromo,243111,2.95,N,2.950
M-034,Recuento de Pseudomonas aeruginosa,243111,<1,N,1.000
M-027,Recuento de bacterias coliformes,243111,<1,N,1.000
M-027,Recuento de E. coli,243111,<1,N,1.000
M-019-AC1,Recuento de Estafilococos coagulasa +,243111,0,N,0.000
FECHA-MI,Fecha fin de los ensayos,243111,14/01/2026,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,243111,12/01/2026,T,0.000
FECHA-AMB,Fecha fin de los ensayos,243111,12/01/2026,T,0.000
FECHA-AMB,Fecha comienzo de los ensayos,243111,12/01/2026,T,0.000
D_TURBIDEZ,Turbidez,243111,<0.4,N,0.160
D_PH,pH,243111,7.5,N,7.540
AMONI-CI-P,Amonio,243111,<0.15,N,0.000
D_CONDUCT,Conductividad a 20 ºC,243112,716,N,715.800
AMONI-CI-P,Amonio,243112,<0.15,N,0.000
D_PH,pH,243112,7.4,N,7.350
D_TURBIDEZ,Turbidez,243112,<0.4,N,0.120
FECHA-AMB,Fecha comienzo de los ensayos,243112,12/01/2026,T,0.000
FECHA-AMB,Fecha fin de los ensayos,243112,12/01/2026,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,243112,12/01/2026,T,0.000
FECHA-MI,Fecha fin de los ensayos,243112,14/01/2026,T,0.000
M-019-AC1,Recuento de Estafilococos coagulasa +,243112,0,N,0.000
M-027,Recuento de E. coli,243112,<1,N,1.000
M-027,Recuento de bacterias coliformes,243112,<1,N,1.000
M-034,Recuento de Pseudomonas aeruginosa,243112,<1,N,1.000
PE-IL-TEMP,Temperatura del agua,243112,27.6,N,27.600
WMM-LM-CAM,Cloro combinado residual,243112,0.51,N,0.510
D_OXIDABIL,Oxidabilidad,243112,0.85,N,0.850
WMM-LM-CAM,Cloro libre residual,243112,1.27,N,1.270
AMONI-CI-P,Amonio,243113,<0.15,N,0.000
D_OXIDABIL,Oxidabilidad,243113,3.92,N,3.920
D_PH,pH,243113,7.7,N,7.680
D_TURBIDEZ,Turbidez,243113,0.5,N,0.520
FECHA-AMB,Fecha comienzo de los ensayos,243113,12/01/2026,T,0.000
FECHA-AMB,Fecha fin de los ensayos,243113,13/01/2026,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,243113,12/01/2026,T,0.000
FECHA-MI,Fecha fin de los ensayos,243113,14/01/2026,T,0.000
M-019-AC1,Recuento de Estafilococos coagulasa +,243113,0,N,0.000
M-027,Recuento de E. coli,243113,<1,N,1.000
M-027,Recuento de bacterias coliformes,243113,<1,N,1.000
M-034,Recuento de Pseudomonas aeruginosa,243113,<1,N,1.000
PE-IL-BR-1,Bromo,243113,2.84,N,2.840
D_CONDUCT,Conductividad a 20 ºC,243113,1587,N,1587.000
PE-IL-TEMP,Temperatura del agua,243113,28.1,N,28.100
AMONI-CI-P,Amonio,243114,<0.15,N,0.000
PE-IL-TEMP,Temperatura del agua,243114,26.1,N,26.100
PE-IL-BR-1,Bromo,243114,4.31,N,4.310
M-034,Recuento de Pseudomonas aeruginosa,243114,<1,N,1.000
M-027,Recuento de bacterias coliformes,243114,<1,N,1.000
M-027,Recuento de E. coli,243114,<1,N,1.000
M-019-AC1,Recuento de Estafilococos coagulasa +,243114,0,N,0.000
FECHA-MI,Fecha fin de los ensayos,243114,14/01/2026,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,243114,12/01/2026,T,0.000
FECHA-AMB,Fecha fin de los ensayos,243114,12/01/2026,T,0.000
FECHA-AMB,Fecha comienzo de los ensayos,243114,12/01/2026,T,0.000
D_TURBIDEZ,Turbidez,243114,<0.4,N,0.100
D_CONDUCT,Conductividad a 20 ºC,243114,424,N,424.300
D_OXIDABIL,Oxidabilidad,243114,0.77,N,0.770
D_PH,pH,243114,8.2,N,8.230
AMONI-CI-P,Amonio,243115,<0.15,N,0.000
BIOCIDA,Biocida neutralizante,243115,Tiosulfato sódico,T,0.000
BIOCIDA,Biocida nombre,243115,Hipoclorito sódico,T,0.000
D_CONDUCT,Conductividad a 20 ºC,243115,1616,N,1616.000
D_OXIDABIL,Oxidabilidad,243115,0.89,N,0.890
D_PH,pH,243115,7.9,N,7.850
D_TURBIDEZ,Turbidez,243115,0.4,N,0.400
ENVASE,Envase,243115,Vidrio 1L,O,0.000
FECHA-AMB,Fecha comienzo de los ensayos,243115,12/01/2026,T,0.000
FECHA-AMB,Fecha fin de los ensayos,243115,13/01/2026,T,0.000
FECHA-LEG,Análisis Legionella-Fecha de inicio,243115,12/01/2026,T,0.000
FECHA-LEG,Análisis Legionella-Fecha fin,243115,26/01/2026,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,243115,12/01/2026,T,0.000
FECHA-MI,Fecha fin de los ensayos,243115,14/01/2026,T,0.000
M-019-AC1,Recuento de Estafilococos coagulasa +,243115,0,N,0.000
M-027,Recuento de E. coli,243115,<1,N,1.000
M-027,Recuento de bacterias coliformes,243115,<1,N,1.000
M-033-AC2,Legionella spp - Recuento,243115,No detectado,O,0.000
M-033-AC2,Legionella-Limite detección ensayo,243115,25 ufc/L,O,0.000
M-033-AC2,Legionella-Volumen filtrado,243115,1,N,1.000
M-034,Recuento de Pseudomonas aeruginosa,243115,<1,N,1.000
PE-IL-BR-1,Bromo,243115,3.11,N,3.110
PE-IL-TEMP,Temperatura del agua,243115,30.9,N,30.900
FECHA-MI,Fecha fin de los ensayos,243116,14/01/2026,T,0.000
D_TURBIDEZ,Turbidez,243116,<0.4,N,0.170
FECHA-LEG,Análisis Legionella-Fecha fin,243116,26/01/2026,T,0.000
FECHA-LEG,Análisis Legionella-Fecha de inicio,243116,12/01/2026,T,0.000
FECHA-AMB,Fecha fin de los ensayos,243116,12/01/2026,T,0.000
FECHA-AMB,Fecha comienzo de los ensayos,243116,12/01/2026,T,0.000
ENVASE,Envase,243116,Vidrio 1L,O,0.000
BIOCIDA,Biocida neutralizante,243116,Tiosulfato sódico,T,0.000
AMONI-CI-P,Amonio,243116,<0.15,N,0.000
PE-IL-TEMP,Temperatura del agua,243116,29.8,N,29.800
PE-IL-BR-1,Bromo,243116,2.53,N,2.530
M-034,Recuento de Pseudomonas aeruginosa,243116,<1,N,1.000
M-033-AC2,Legionella-Volumen filtrado,243116,1,N,1.000
M-033-AC2,Legionella-Limite detección ensayo,243116,25 ufc/L,O,0.000
M-033-AC2,Legionella spp - Recuento,243116,No detectado,O,0.000
M-027,Recuento de bacterias coliformes,243116,<1,N,1.000
M-027,Recuento de E. coli,243116,<1,N,1.000
M-019-AC1,Recuento de Estafilococos coagulasa +,243116,27,N,27.000
BIOCIDA,Biocida nombre,243116,hipoclorito sódico,T,0.000
D_CONDUCT,Conductividad a 20 ºC,243116,613,N,612.800
D_OXIDABIL,Oxidabilidad,243116,0.81,N,0.810
D_PH,pH,243116,7.8,N,7.830
FECHA-MI,Fecha comienzo de los ensayos,243116,12/01/2026,T,0.000
M-033-AC1,Recuento transformado,243117,2.9E+03,K,2900.000
M-033-AC1,Recuento,243117,2900,N,2900.000
M-033-AC1,Legionella spp - Recuento,243117,2.9E+03,N,2900.000
M-027,Recuento de bacterias coliformes,243117,<1,N,1.000
M-027,Recuento de E. coli,243117,<1,N,1.000
WMM-LM-CAM,Cloro libre residual,243117,0.11,N,0.110
FECHA-MI,Fecha fin de los ensayos,243117,14/01/2026,T,0.000
M-019-AC1,Recuento de Estafilococos coagulasa +,243117,0,N,0.000
WMM-LM-CAM,Cloro combinado residual,243117,0.74,N,0.740
PE-IL-TEMP,Temperatura del agua,243117,29.7,N,29.700
M-034,Recuento de Pseudomonas aeruginosa,243117,<1,N,1.000
M-033-AC3,Identificación de Legionella otras spp,243117,No detectado,O,0.000
M-033-AC3,Identificación de L. pneumophila sr 2-14,243117,Detectado,O,0.000
M-033-AC3,Identificación de L. pneumophila sr 1,243117,Detectado,O,0.000
M-033-AC1,Legionella volumen filtrado,243117,1,N,1.000
FECHA-MI,Fecha comienzo de los ensayos,243117,12/01/2026,T,0.000
FECHA-LEG,Análisis Legionella-Fecha fin,243117,26/01/2026,T,0.000
FECHA-LEG,Análisis Legionella-Fecha de inicio,243117,12/01/2026,T,0.000
AMONI-CI-P,Amonio,243117,<0.15,N,0.150
BIOCIDA,Biocida neutralizante,243117,Tiosulfato sódico,T,0.000
BIOCIDA,Biocida nombre,243117,Hipoclorito sódico,T,0.000
D_CONDUCT,Conductividad a 20 ºC,243117,382,N,381.600
D_OXIDABIL,Oxidabilidad,243117,1.45,N,1.450
D_PH,pH,243117,8.4,N,8.380
D_TURBIDEZ,Turbidez,243117,<0.4,N,0.240
ENVASE,Envase,243117,Vidrio 1L,O,0.000
FECHA-AMB,Fecha comienzo de los ensayos,243117,12/01/2026,T,0.000
FECHA-AMB,Fecha fin de los ensayos,243117,12/01/2026,T,0.000
D_OXIDABIL,Oxidabilidad,243118,<0.50,N,-0.070
D_CONDUCT,Conductividad a 20 ºC,243118,<15,N,0.998
D_TURBIDEZ,Turbidez,243118,<0.4,N,0.040
FECHA-AMB,Fecha comienzo de los ensayos,243118,12/01/2026,T,0.000
FECHA-AMB,Fecha fin de los ensayos,243118,12/01/2026,T,0.000
M-034,Recuento de Pseudomonas aeruginosa,243118,<1,N,1.000
FECHA-MI,Fecha fin de los ensayos,243118,14/01/2026,T,0.000
M-019-AC1,Recuento de Estafilococos coagulasa +,243118,0,N,0.000
M-027,Recuento de E. coli,243118,<1,N,1.000
M-027,Recuento de bacterias coliformes,243118,<1,N,1.000
FECHA-MI,Fecha comienzo de los ensayos,243118,12/01/2026,T,0.000
BIOCIDA,Biocida neutralizante,243134,tiosulfato sodico,T,0.000
