Id numeric,Result text,Result value,Sampled date,Test status,Description,Component name,Sample name
"    231935","<1                                                                                                                                                                                                                                        ","     1.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Microorganismos cultivables a 22º C     ","agua blanco                   "
"    231935","0                                                                                                                                                                                                                                         ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Recuento de bacterias coliformes        ","agua blanco                   "
"    231935","0                                                                                                                                                                                                                                         ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Recuento de C. perfringens (incluido esp","agua blanco                   "
"    231935","0                                                                                                                                                                                                                                         ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Recuento de E. coli                     ","agua blanco                   "
"    231957","07/02/2024                                                                                                                                                                                                                                ","     0.000","06-FEB-2024 10:33:00","A","blanco proceso                                                                                      "," Fecha fin de los ensayos               ","agua blanco proceso           "
"    231957","<1.0                                                                                                                                                                                                                                      ","     0.000","06-FEB-2024 10:33:00","A","blanco proceso                                                                                      ","Plomo total                             ","agua blanco proceso           "
"    231957","<5.0                                                                                                                                                                                                                                      ","     0.004","06-FEB-2024 10:33:00","A","blanco proceso                                                                                      ","Niquel total                            ","agua blanco proceso           "
"    231957","<10.0                                                                                                                                                                                                                                     ","     0.070","06-FEB-2024 10:33:00","A","blanco proceso                                                                                      ","Hierro total                            ","agua blanco proceso           "
"    231957","<10.0                                                                                                                                                                                                                                     ","     0.000","06-FEB-2024 10:33:00","A","blanco proceso                                                                                      ","Cromo total                             ","agua blanco proceso           "
"    231957","<50.0                                                                                                                                                                                                                                     ","     0.010","06-FEB-2024 10:33:00","A","blanco proceso                                                                                      ","Cobre total                             ","agua blanco proceso           "
"    231957","<0.22                                                                                                                                                                                                                                     ","     0.060","06-FEB-2024 10:33:00","A","blanco proceso                                                                                      ","Turbidez                                ","agua blanco proceso           "
"    231957","<15                                                                                                                                                                                                                                       ","     0.623","06-FEB-2024 10:33:00","A","blanco proceso                                                                                      ","Conductividad a 20 ºC                   ","agua blanco proceso           "
"    231957","06/02/2024                                                                                                                                                                                                                                ","     0.000","06-FEB-2024 10:33:00","A","blanco proceso                                                                                      "," Fecha comienzo de los ensayos          ","agua blanco proceso           "
"    231957","0                                                                                                                                                                                                                                         ","     0.000","06-FEB-2024 10:33:00","A","blanco proceso                                                                                      ","P2                                      ","agua blanco proceso           "
"    231957","<1                                                                                                                                                                                                                                        ","     1.000","06-FEB-2024 10:33:00","A","blanco proceso                                                                                      ","Microorganismos cultivables a 22º C     ","agua blanco proceso           "
"    231957","0.0                                                                                                                                                                                                                                       ","     0.000","06-FEB-2024 10:33:00","A","blanco proceso                                                                                      ","Microorganismos cultivables a 22 ºC     ","agua blanco proceso           "
